item_id,item_name,combined_columns
13210,Unreal Tournament 3: Black Edition,"Unreal Tournament 3: Black Edition Action Epic Games, Inc.Unreal Tournament 3: Black Edition UTNerd24 Action 2007 Epic Games, Inc."
13230,Unreal Tournament 2004,"Unreal Tournament 2004 Action Epic Games, Inc.Unreal Tournament 2004 UTNerd24 Action 2004 Epic Games, Inc."
13240,Unreal Tournament: Game of the Year Edition,"Unreal Tournament: Game of the Year Edition Action Epic Games, Inc.Unreal Tournament: Game of the Year Edition UTNerd24 Action 2000 Epic Games, Inc."
13250,Unreal Gold,"Unreal Gold Action Epic Games, Inc.Unreal Gold UTNerd24 Action 1998 Epic Games, Inc."
13500,Prince of Persia: Warrior Within,Prince of Persia: Warrior Within Action UbisoftPrince of Persia: Warrior Within AMV72 Action 2004 Ubisoft
13520,Far Cry,Far Cry Action Crytek StudiosFar Cry sad-commie Action 2004 Crytek Studios
13530,Prince of Persia: The Two Thrones,Prince of Persia: The Two Thrones Action Ubisoft MontrealPrince of Persia: The Two Thrones AMV72 Action 2005 Ubisoft Montreal
13540,Tom Clancy's Rainbow Six: Vegas,Tom Clancy's Rainbow Six: Vegas Action Ubisoft MontrealTom Clancy's Rainbow Six: Vegas maxpaynepillkiller Action 2006 Ubisoft Montreal
13560,Tom Clancy's Splinter Cell,Tom Clancy's Splinter Cell Action UbisoftTom Clancy's Splinter Cell iamthekingofbrowntown Action 2003 Ubisoft
13570,Tom Clancy's Splinter Cell: Chaos Theory,Tom Clancy's Splinter Cell: Chaos Theory Action Ubisoft MontrealTom Clancy's Splinter Cell: Chaos Theory iamthekingofbrowntown Action 2005 Ubisoft Montreal
13580,Tom Clancy's Splinter Cell: Double Agent,Tom Clancy's Splinter Cell: Double Agent Action Ubisoft MontrealTom Clancy's Splinter Cell: Double Agent iamthekingofbrowntown Action 2006 Ubisoft Montreal
13600,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time Action KudosoftPrince of Persia: The Sands of Time AMV72 Action 2003 Kudosoft
13620,Tom Clancy's Ghost Recon: Desert Siege,Tom Clancy's Ghost Recon: Desert Siege Action Red Storm EntertainmentTom Clancy's Ghost Recon: Desert Siege AMV72 Action 2002 Red Storm Entertainment
13630,Tom Clancy's Ghost Recon: Island Thunder,Tom Clancy's Ghost Recon: Island Thunder Action Red Storm EntertainmentTom Clancy's Ghost Recon: Island Thunder AMV72 Action 2002 Red Storm Entertainment
1500,Darwinia,Darwinia Indie Introversion SoftwareDarwinia sad-commie Indie 2005 Introversion Software
15000,Tom Clancy's Rainbow Six: Lockdown,Tom Clancy's Rainbow Six: Lockdown Action Red Storm EntertainmentTom Clancy's Rainbow Six: Lockdown AMV72 Action 2006 Red Storm Entertainment
15080,Rayman: Raving Rabbids,"Rayman: Raving Rabbids Action Ubisoft Bulgaria,Ubisoft MontpellierRayman: Raving Rabbids chidvd Action 2007 Ubisoft Bulgaria,Ubisoft Montpellier"
1510,Uplink,Uplink Indie Introversion SoftwareUplink sad-commie Indie 2006 Introversion Software
15100,Assassin's Creed,Assassin's Creed Action Ubisoft MontrealAssassin's Creed EizanAratoFujimaki Action 2008 Ubisoft Montreal
15120,Tom Clancy's Rainbow Six: Vegas 2,Tom Clancy's Rainbow Six: Vegas 2 Action Ubisoft MontrealTom Clancy's Rainbow Six: Vegas 2 jonasdbomb Action 2008 Ubisoft Montreal
15130,Beyond Good & Evil,Beyond Good & Evil Action UbisoftBeyond Good & Evil mrpfresh Action 2003 Ubisoft
15160,Petz Horsez 2,Petz Horsez 2 Simulation UbisoftPetz Horsez 2 chidvd Simulation 2007 Ubisoft
15170,Heroes of Might & Magic V,Heroes of Might & Magic V Strategy NivalHeroes of Might & Magic V jonasdbomb Strategy 2006 Nival
15190,Brothers in Arms: Road to Hill 30,Brothers in Arms: Road to Hill 30 Action Gearbox SoftwareBrothers in Arms: Road to Hill 30 AMV72 Action 2005 Gearbox Software
1520,DEFCON,DEFCON Indie Introversion SoftwareDEFCON sad-commie Indie 2006 Introversion Software
15200,Silent Hunter: Wolves of the Pacific,Silent Hunter: Wolves of the Pacific Simulation Ubisoft RomaniaSilent Hunter: Wolves of the Pacific chidvd Simulation 2007 Ubisoft Romania
15210,Silent Hunter III,Silent Hunter III Simulation UbisoftSilent Hunter III chidvd Simulation 2005 Ubisoft
15240,Silent Hunter: Wolves of the Pacific U-Boat Missions,Silent Hunter: Wolves of the Pacific U-Boat Missions Simulation Ubisoft RomaniaSilent Hunter: Wolves of the Pacific U-Boat Missions chidvd Simulation 2008 Ubisoft Romania
15270,Cold Fear,Cold Fear Action DarkworksCold Fear chidvd Action 2005 Darkworks
1530,Multiwinia,Multiwinia Indie Introversion SoftwareMultiwinia sad-commie Indie 2008 Introversion Software
15300,Tom Clancy's Ghost Recon,Tom Clancy's Ghost Recon Action Red Storm EntertainmentTom Clancy's Ghost Recon AMV72 Action 2001 Red Storm Entertainment
15310,The Settlers: Heritage of Kings,The Settlers: Heritage of Kings Strategy Ubisoft Blue Byte StudioThe Settlers: Heritage of Kings chidvd Strategy 2005 Ubisoft Blue Byte Studio
15320,IL-2 Sturmovik: 1946,IL-2 Sturmovik: 1946 Simulation 1C: Maddox GamesIL-2 Sturmovik: 1946 76561198088944293 Simulation 2006 1C: Maddox Games
15350,Brain Spa,Brain Spa Casual UbisoftBrain Spa chidvd Casual 2007 Ubisoft
15370,Heroes of Might & Magic V: Tribes of the East,Heroes of Might & Magic V: Tribes of the East Strategy NivalHeroes of Might & Magic V: Tribes of the East jonasdbomb Strategy 2007 Nival
15380,Heroes of Might & Magic V: Hammers of Fate,Heroes of Might & Magic V: Hammers of Fate Strategy NivalHeroes of Might & Magic V: Hammers of Fate jonasdbomb Strategy 2006 Nival
15390,Brothers in Arms: Hell's Highway,Brothers in Arms: Hell's Highway Action Gearbox SoftwareBrothers in Arms: Hell's Highway AMV72 Action 2008 Gearbox Software
15400,Harvest: Massive Encounter,Harvest: Massive Encounter Strategy Oxeye Game StudioHarvest: Massive Encounter mrpfresh Strategy 2008 Oxeye Game Studio
