user_id,user_url,funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
Lord_Exploit,http://steamcommunity.com/id/Lord_Exploit,1 person found this review funny,"Posted March 13, 2015.","Last edited March 19, 2015.",311560,6 of 10 people (60%) found this review helpful,True,1
76561197994493402,http://steamcommunity.com/profiles/76561197994493402,2 people found this review funny,Posted June 20.,,365590,7 of 17 people (41%) found this review helpful,True,1
Koolcaz12,http://steamcommunity.com/id/Koolcaz12,3 people found this review funny,Posted May 17.,,298050,16 of 48 people (33%) found this review helpful,False,2
76561198126640317,http://steamcommunity.com/profiles/76561198126640317,1 person found this review funny,"Posted June 15, 2015.",,251570,9 of 12 people (75%) found this review helpful,True,2
GGargula,http://steamcommunity.com/id/GGargula,1 person found this review funny,Posted September 4.,,570,3 of 7 people (43%) found this review helpful,False,1
getf0kinn0sc0pedm9,http://steamcommunity.com/id/getf0kinn0sc0pedm9,1 person found this review funny,"Posted May 31, 2015.",,730,2 of 2 people (100%) found this review helpful,True,0
76561198141443390,http://steamcommunity.com/profiles/76561198141443390,3 people found this review funny,"Posted May 3, 2015.","Last edited November 8, 2015.",730,3 of 4 people (75%) found this review helpful,True,2
76561198050347115,http://steamcommunity.com/profiles/76561198050347115,6 people found this review funny,Posted March 19.,,292030,9 of 10 people (90%) found this review helpful,True,1
2768820078,http://steamcommunity.com/id/2768820078,4 people found this review funny,"Posted September 1, 2015.",,287700,4 of 5 people (80%) found this review helpful,True,1
2768820078,http://steamcommunity.com/id/2768820078,1 person found this review funny,Posted April 19.,,730,2 of 2 people (100%) found this review helpful,False,1
2768820078,http://steamcommunity.com/id/2768820078,2 people found this review funny,Posted April 18.,Last edited April 23.,310950,2 of 3 people (67%) found this review helpful,True,1
EizanAratoFujimaki,http://steamcommunity.com/id/EizanAratoFujimaki,5 people found this review funny,"Posted October 28, 2015.",,70,14 of 19 people (74%) found this review helpful,True,1
EizanAratoFujimaki,http://steamcommunity.com/id/EizanAratoFujimaki,1 person found this review funny,Posted April 15.,,359550,3 of 9 people (33%) found this review helpful,False,1
TeCool,http://steamcommunity.com/id/TeCool,1 person found this review funny,"Posted January 31, 2015.",,314130,1 of 5 people (20%) found this review helpful,False,0
2xDelorean,http://steamcommunity.com/id/2xDelorean,1 person found this review funny,"Posted July 26, 2013.",,212680,No ratings yet,True,2
76561198088944293,http://steamcommunity.com/profiles/76561198088944293,1 person found this review funny,Posted June 22.,,359550,1 of 2 people (50%) found this review helpful,True,1
76561198088944293,http://steamcommunity.com/profiles/76561198088944293,7 people found this review funny,Posted March 8.,,437701,17 of 89 people (19%) found this review helpful,False,1
Pyromanic,http://steamcommunity.com/id/Pyromanic,1 person found this review funny,"Posted February 15, 2013.",,31280,1 of 1 people (100%) found this review helpful,True,1
pwrt,http://steamcommunity.com/id/pwrt,103 people found this review funny,"Posted September 3, 2015.",,230410,131 of 188 people (70%) found this review helpful,True,1
killbunny38,http://steamcommunity.com/id/killbunny38,2 people found this review funny,"Posted January 22, 2015.",,570,2 of 3 people (67%) found this review helpful,True,2
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,1 person found this review funny,"Posted April 13, 2015.",,271590,1 of 2 people (50%) found this review helpful,True,1
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,1 person found this review funny,"Posted December 28, 2013.","Last edited December 28, 2013.",219740,1 of 2 people (50%) found this review helpful,True,2
OzfurAtlas,http://steamcommunity.com/id/OzfurAtlas,3 people found this review funny,Posted September 12.,,4700,2 of 2 people (100%) found this review helpful,True,1
76561198065593074,http://steamcommunity.com/profiles/76561198065593074,1 person found this review funny,"Posted November 6, 2015.",,304930,1 of 3 people (33%) found this review helpful,False,0
76561198044169764,http://steamcommunity.com/profiles/76561198044169764,1 person found this review funny,"Posted July 22, 2015.",,355180,0 of 1 people (0%) found this review helpful,False,1
76561198074935997,http://steamcommunity.com/profiles/76561198074935997,1 person found this review funny,Posted July 10.,,299740,5 of 6 people (83%) found this review helpful,True,2
Wilfire77,http://steamcommunity.com/id/Wilfire77,2 people found this review funny,"Posted March 22, 2015.",,322920,3 of 7 people (43%) found this review helpful,True,2
Mastic,http://steamcommunity.com/id/Mastic,16 people found this review funny,"Posted August 1, 2015.","Last edited August 2, 2015.",304050,95 of 173 people (55%) found this review helpful,False,1
Mastic,http://steamcommunity.com/id/Mastic,1 person found this review funny,"Posted December 30, 2014.",Last edited July 7.,550,1 of 1 people (100%) found this review helpful,True,2
76561198028286104,http://steamcommunity.com/profiles/76561198028286104,1 person found this review funny,"Posted December 26, 2013.",,10180,2 of 2 people (100%) found this review helpful,True,2
tarjla,http://steamcommunity.com/id/tarjla,34 people found this review funny,Posted August 26.,,242760,52 of 62 people (84%) found this review helpful,True,2
tarjla,http://steamcommunity.com/id/tarjla,2 people found this review funny,"Posted January 28, 2015.",,265750,7 of 11 people (64%) found this review helpful,True,1
tarjla,http://steamcommunity.com/id/tarjla,1 person found this review funny,"Posted May 8, 2014.",,252490,2 of 3 people (67%) found this review helpful,True,2
76561198104393251,http://steamcommunity.com/profiles/76561198104393251,1 person found this review funny,"Posted March 13, 2015.","Last edited March 14, 2015.",304930,No ratings yet,True,1
76561198075322986,http://steamcommunity.com/profiles/76561198075322986,2 people found this review funny,Posted March 30.,,730,2 of 2 people (100%) found this review helpful,True,1
redsncrimson,http://steamcommunity.com/id/redsncrimson,1 person found this review funny,Posted March 20.,,304410,1 of 1 people (100%) found this review helpful,True,2
76561198151910904,http://steamcommunity.com/profiles/76561198151910904,1 person found this review funny,Posted April 22.,,252950,No ratings yet,True,2
H1DD3NT3RR0R,http://steamcommunity.com/id/H1DD3NT3RR0R,1 person found this review funny,"Posted March 10, 2014.",,240,3 of 4 people (75%) found this review helpful,True,1
H1DD3NT3RR0R,http://steamcommunity.com/id/H1DD3NT3RR0R,1 person found this review funny,"Posted June 11, 2014.","Last edited June 11, 2014.",730,1 of 3 people (33%) found this review helpful,True,1
H1DD3NT3RR0R,http://steamcommunity.com/id/H1DD3NT3RR0R,3 people found this review funny,"Posted September 4, 2015.",,440,1 of 4 people (25%) found this review helpful,False,0
H1DD3NT3RR0R,http://steamcommunity.com/id/H1DD3NT3RR0R,1 person found this review funny,"Posted June 18, 2014.","Last edited June 18, 2014.",570,1 of 5 people (20%) found this review helpful,True,0
t8s,http://steamcommunity.com/id/t8s,1 person found this review funny,"Posted May 2, 2015.",,730,1 of 1 people (100%) found this review helpful,True,2
pikawuu2,http://steamcommunity.com/id/pikawuu2,1 person found this review funny,Posted March 12.,Last edited March 15.,230410,3 of 4 people (75%) found this review helpful,True,0
76561198045754869,http://steamcommunity.com/profiles/76561198045754869,3 people found this review funny,"Posted August 7, 2015.",,335670,2 of 2 people (100%) found this review helpful,True,0
76561198145436942,http://steamcommunity.com/profiles/76561198145436942,1 person found this review funny,"Posted August 2, 2014.",Last edited May 13.,221100,4 of 5 people (80%) found this review helpful,True,2
jjas01,http://steamcommunity.com/id/jjas01,1 person found this review funny,Posted March 2.,,427820,8 of 18 people (44%) found this review helpful,False,1
Forty-Nine,http://steamcommunity.com/id/Forty-Nine,1 person found this review funny,Posted January 11.,Last edited April 9.,376300,7 of 24 people (29%) found this review helpful,False,2
L4M1NAS,http://steamcommunity.com/id/L4M1NAS,1 person found this review funny,Posted August 15.,,227940,2 of 3 people (67%) found this review helpful,True,1
76561198096766604,http://steamcommunity.com/profiles/76561198096766604,1 person found this review funny,Posted July 16.,,301520,4 of 4 people (100%) found this review helpful,False,1
mrpfresh,http://steamcommunity.com/id/mrpfresh,1 person found this review funny,Posted August 22.,,236110,1 of 2 people (50%) found this review helpful,True,0
mrpfresh,http://steamcommunity.com/id/mrpfresh,2 people found this review funny,"Posted October 16, 2015.",,346110,1 of 2 people (50%) found this review helpful,True,0
mrpfresh,http://steamcommunity.com/id/mrpfresh,1 person found this review funny,Posted January 9.,,232790,0 of 8 people (0%) found this review helpful,True,1
EHS-R3AP3R,http://steamcommunity.com/id/EHS-R3AP3R,2 people found this review funny,"Posted September 9, 2015.",,339230,15 of 27 people (56%) found this review helpful,False,1
ulramite,http://steamcommunity.com/id/ulramite,6 people found this review funny,Posted July 24.,,211820,5 of 15 people (33%) found this review helpful,True,1
750805,http://steamcommunity.com/id/750805,1 person found this review funny,Posted March 24.,Last edited August 14.,369070,20 of 29 people (69%) found this review helpful,False,1
750805,http://steamcommunity.com/id/750805,2 people found this review funny,Posted May 6.,Last edited May 6.,91310,3 of 11 people (27%) found this review helpful,False,0
diabeticfuck,http://steamcommunity.com/id/diabeticfuck,3 people found this review funny,"Posted August 31, 2015.",,218620,2 of 6 people (33%) found this review helpful,True,0
76561198054465623,http://steamcommunity.com/profiles/76561198054465623,4 people found this review funny,"Posted January 10, 2015.","Last edited April 8, 2015.",302830,26 of 33 people (79%) found this review helpful,False,1
76561198054465623,http://steamcommunity.com/profiles/76561198054465623,1 person found this review funny,"Posted July 13, 2015.",,105600,No ratings yet,True,2
FrankoWalker,http://steamcommunity.com/id/FrankoWalker,1 person found this review funny,"Posted May 16, 2014.",,236390,2 of 5 people (40%) found this review helpful,True,0
SALTTHEW0UND,http://steamcommunity.com/id/SALTTHEW0UND,1 person found this review funny,"Posted August 28, 2014.",,730,1 of 1 people (100%) found this review helpful,True,2
76561198074644990,http://steamcommunity.com/profiles/76561198074644990,1 person found this review funny,"Posted February 5, 2015.",,242760,1 of 1 people (100%) found this review helpful,True,1
76561198064304806,http://steamcommunity.com/profiles/76561198064304806,2 people found this review funny,"Posted December 11, 2015.",,730,0 of 1 people (0%) found this review helpful,True,0
acorn13,http://steamcommunity.com/id/acorn13,1 person found this review funny,"Posted July 12, 2012.",,34330,1 of 1 people (100%) found this review helpful,True,1
acorn13,http://steamcommunity.com/id/acorn13,1 person found this review funny,"Posted May 1, 2015.",,271590,1 of 2 people (50%) found this review helpful,True,2
adamcookie,http://steamcommunity.com/id/adamcookie,1 person found this review funny,Posted August 14.,,570,1 of 1 people (100%) found this review helpful,True,2
76561198073508075,http://steamcommunity.com/profiles/76561198073508075,1 person found this review funny,"Posted April 13, 2014.",,10090,1 of 1 people (100%) found this review helpful,True,2
76561198073508075,http://steamcommunity.com/profiles/76561198073508075,1 person found this review funny,Posted January 22.,,251570,1 of 5 people (20%) found this review helpful,True,1
76561198074323290,http://steamcommunity.com/profiles/76561198074323290,7 people found this review funny,Posted April 12.,Last edited May 9.,252490,108 of 147 people (73%) found this review helpful,False,2
76561198074323290,http://steamcommunity.com/profiles/76561198074323290,3 people found this review funny,Posted August 21.,,251060,0 of 5 people (0%) found this review helpful,False,1
76561198015968275,http://steamcommunity.com/profiles/76561198015968275,1 person found this review funny,"Posted September 6, 2015.",,248610,No ratings yet,True,1
Agronoth,http://steamcommunity.com/id/Agronoth,1 person found this review funny,"Posted February 9, 2014.",,244850,1 of 2 people (50%) found this review helpful,True,2
Agronoth,http://steamcommunity.com/id/Agronoth,1 person found this review funny,"Posted April 24, 2015.",,221640,0 of 1 people (0%) found this review helpful,True,2
Agronoth,http://steamcommunity.com/id/Agronoth,1 person found this review funny,"Posted March 21, 2015.",,104900,0 of 1 people (0%) found this review helpful,True,2
UnholyFallenAngel,http://steamcommunity.com/id/UnholyFallenAngel,1 person found this review funny,"Posted October 7, 2014.",,262410,6 of 6 people (100%) found this review helpful,True,2
76561198068565589,http://steamcommunity.com/profiles/76561198068565589,1 person found this review funny,"Posted July 18, 2015.",,286570,1 of 7 people (14%) found this review helpful,True,1
76561198044678148,http://steamcommunity.com/profiles/76561198044678148,2 people found this review funny,Posted July 29.,,495890,1 of 4 people (25%) found this review helpful,True,1
Albolah,http://steamcommunity.com/id/Albolah,9 people found this review funny,"Posted December 29, 2015.",,283920,11 of 14 people (79%) found this review helpful,True,1
Albolah,http://steamcommunity.com/id/Albolah,1 person found this review funny,"Posted December 30, 2015.",,294650,1 of 2 people (50%) found this review helpful,True,1
76561198003056556,http://steamcommunity.com/profiles/76561198003056556,12 people found this review funny,Posted January 9.,Last edited January 9.,432020,77 of 122 people (63%) found this review helpful,False,0
maxpaynepillkiller,http://steamcommunity.com/id/maxpaynepillkiller,45 people found this review funny,Posted July 16.,,319630,177 of 221 people (80%) found this review helpful,True,0
maxpaynepillkiller,http://steamcommunity.com/id/maxpaynepillkiller,2 people found this review funny,"Posted December 30, 2015.",,12120,9 of 11 people (82%) found this review helpful,True,1
maxpaynepillkiller,http://steamcommunity.com/id/maxpaynepillkiller,2 people found this review funny,Posted July 24.,,241930,7 of 11 people (64%) found this review helpful,True,1
maxpaynepillkiller,http://steamcommunity.com/id/maxpaynepillkiller,11 people found this review funny,Posted May 30.,,428690,14 of 26 people (54%) found this review helpful,True,2
76561198075935236,http://steamcommunity.com/profiles/76561198075935236,1 person found this review funny,"Posted January 26, 2015.",,226700,1 of 3 people (33%) found this review helpful,True,1
76561198071952798,http://steamcommunity.com/profiles/76561198071952798,2 people found this review funny,Posted July 7.,,381210,1 of 1 people (100%) found this review helpful,True,1
76561198071952798,http://steamcommunity.com/profiles/76561198071952798,1 person found this review funny,Posted January 14.,,265930,0 of 2 people (0%) found this review helpful,False,1
AMV72,http://steamcommunity.com/id/AMV72,2 people found this review funny,"Posted September 27, 2012.","Last edited November 25, 2013.",209100,2 of 3 people (67%) found this review helpful,False,0
76561198069170979,http://steamcommunity.com/profiles/76561198069170979,1 person found this review funny,"Posted June 26, 2015.",,440,No ratings yet,True,2
711armageddoncarmageddon,http://steamcommunity.com/id/711armageddoncarmageddon,2 people found this review funny,"Posted July 4, 2015.",,113020,No ratings yet,True,1
711armageddoncarmageddon,http://steamcommunity.com/id/711armageddoncarmageddon,1 person found this review funny,"Posted July 3, 2015.",,105600,No ratings yet,True,2
711armageddoncarmageddon,http://steamcommunity.com/id/711armageddoncarmageddon,1 person found this review funny,"Posted July 3, 2015.",,9480,No ratings yet,True,2
Andraison,http://steamcommunity.com/id/Andraison,1 person found this review funny,"Posted July 31, 2015.",,22230,3 of 5 people (60%) found this review helpful,True,0
Angrovar,http://steamcommunity.com/id/Angrovar,3 people found this review funny,"Posted November 11, 2015.",,359320,5 of 9 people (56%) found this review helpful,True,1
76561198039441595,http://steamcommunity.com/profiles/76561198039441595,2 people found this review funny,"Posted January 23, 2015.",,319510,0 of 4 people (0%) found this review helpful,False,2
76561198039441595,http://steamcommunity.com/profiles/76561198039441595,1 person found this review funny,"Posted June 20, 2014.","Last edited June 20, 2014.",20,5 of 15 people (33%) found this review helpful,False,1
76561198039441595,http://steamcommunity.com/profiles/76561198039441595,97 people found this review funny,"Posted May 7, 2014.",,223470,193 of 464 people (42%) found this review helpful,False,1
AppoGetsSuperAdmin,http://steamcommunity.com/id/AppoGetsSuperAdmin,1 person found this review funny,"Posted June 26, 2015.",,212500,1 of 2 people (50%) found this review helpful,True,1
AppoGetsSuperAdmin,http://steamcommunity.com/id/AppoGetsSuperAdmin,1 person found this review funny,"Posted August 8, 2015.",,104900,No ratings yet,True,1
armouredmarshmallow,http://steamcommunity.com/id/armouredmarshmallow,1 person found this review funny,Posted March 27.,,239200,1 of 1 people (100%) found this review helpful,True,1
armouredmarshmallow,http://steamcommunity.com/id/armouredmarshmallow,1 person found this review funny,"Posted May 24, 2015.",Last edited July 20.,346900,1 of 1 people (100%) found this review helpful,True,1
armouredmarshmallow,http://steamcommunity.com/id/armouredmarshmallow,1 person found this review funny,Posted March 27.,,363970,1 of 2 people (50%) found this review helpful,True,2
armouredmarshmallow,http://steamcommunity.com/id/armouredmarshmallow,1 person found this review funny,Posted March 27.,Last edited July 20.,72850,0 of 1 people (0%) found this review helpful,True,2
armouredmarshmallow,http://steamcommunity.com/id/armouredmarshmallow,1 person found this review funny,Posted March 27.,Last edited July 20.,57300,0 of 1 people (0%) found this review helpful,True,0
armouredmarshmallow,http://steamcommunity.com/id/armouredmarshmallow,1 person found this review funny,"Posted May 24, 2015.",Last edited July 20.,630,0 of 1 people (0%) found this review helpful,True,2
76561198039874575,http://steamcommunity.com/profiles/76561198039874575,2 people found this review funny,"Posted February 1, 2014.",,221100,No ratings yet,True,0
Mackus1011,http://steamcommunity.com/id/Mackus1011,1 person found this review funny,"Posted October 18, 2014.",,252490,No ratings yet,True,0
darkmassieh,http://steamcommunity.com/id/darkmassieh,7 people found this review funny,Posted June 28.,,47780,10 of 16 people (63%) found this review helpful,True,2
darkmassieh,http://steamcommunity.com/id/darkmassieh,1 person found this review funny,Posted July 20.,,377160,2 of 3 people (67%) found this review helpful,True,0
darkmassieh,http://steamcommunity.com/id/darkmassieh,3 people found this review funny,Posted July 6.,,4000,1 of 2 people (50%) found this review helpful,True,2
darkmassieh,http://steamcommunity.com/id/darkmassieh,1 person found this review funny,Posted May 18.,,435881,1 of 9 people (11%) found this review helpful,True,2
assassin_warman,http://steamcommunity.com/id/assassin_warman,4 people found this review funny,Posted July 4.,,257850,5 of 5 people (100%) found this review helpful,True,1
assassin_warman,http://steamcommunity.com/id/assassin_warman,4 people found this review funny,"Posted June 25, 2015.",,72850,3 of 3 people (100%) found this review helpful,True,1
assassin_warman,http://steamcommunity.com/id/assassin_warman,1 person found this review funny,"Posted July 4, 2015.",,105600,4 of 6 people (67%) found this review helpful,True,1
assassin_warman,http://steamcommunity.com/id/assassin_warman,1 person found this review funny,"Posted August 15, 2015.",,219150,1 of 1 people (100%) found this review helpful,True,2
assassin_warman,http://steamcommunity.com/id/assassin_warman,2 people found this review funny,Posted September 7.,,204450,2 of 3 people (67%) found this review helpful,True,2
assassin_warman,http://steamcommunity.com/id/assassin_warman,2 people found this review funny,Posted February 20.,,239140,2 of 3 people (67%) found this review helpful,True,2
assassin_warman,http://steamcommunity.com/id/assassin_warman,1 person found this review funny,Posted February 29.,,322500,3 of 7 people (43%) found this review helpful,False,2
Astrelt,http://steamcommunity.com/id/Astrelt,5 people found this review funny,"Posted July 26, 2015.",,385770,17 of 23 people (74%) found this review helpful,True,2
Astrelt,http://steamcommunity.com/id/Astrelt,2 people found this review funny,"Posted December 30, 2014.","Last edited April 3, 2015.",218680,6 of 9 people (67%) found this review helpful,True,1
AtomicWoodchuck,http://steamcommunity.com/id/AtomicWoodchuck,2 people found this review funny,Posted July 12.,,310560,17 of 36 people (47%) found this review helpful,False,0
Swish0009,http://steamcommunity.com/id/Swish0009,2 people found this review funny,"Posted June 28, 2014.",,218620,4 of 6 people (67%) found this review helpful,True,1
Aurora99,http://steamcommunity.com/id/Aurora99,1 person found this review funny,"Posted November 5, 2014.",,730,2 of 2 people (100%) found this review helpful,True,1
Aurora99,http://steamcommunity.com/id/Aurora99,1 person found this review funny,"Posted February 15, 2015.",,282440,0 of 2 people (0%) found this review helpful,False,1
Aurora99,http://steamcommunity.com/id/Aurora99,1 person found this review funny,"Posted May 21, 2014.",,440,No ratings yet,True,1
76561198083375450,http://steamcommunity.com/profiles/76561198083375450,6 people found this review funny,"Posted January 22, 2015.",,225640,41 of 51 people (80%) found this review helpful,True,1
76561198110293299,http://steamcommunity.com/profiles/76561198110293299,1 person found this review funny,"Posted February 14, 2015.",,236390,No ratings yet,True,2
de_triggered,http://steamcommunity.com/id/de_triggered,1 person found this review funny,"Posted July 6, 2015.",,219640,No ratings yet,True,2
de_triggered,http://steamcommunity.com/id/de_triggered,1 person found this review funny,"Posted May 25, 2015.",,236390,No ratings yet,True,1
TeH-B-Rad,http://steamcommunity.com/id/TeH-B-Rad,1 person found this review funny,"Posted September 22, 2014.",,730,6 of 11 people (55%) found this review helpful,True,1
TeH-B-Rad,http://steamcommunity.com/id/TeH-B-Rad,2 people found this review funny,"Posted April 9, 2015.",,440,No ratings yet,True,2
BBBirb,http://steamcommunity.com/id/BBBirb,1 person found this review funny,"Posted January 7, 2014.",,4000,2 of 2 people (100%) found this review helpful,True,2
potatoskins,http://steamcommunity.com/id/potatoskins,1 person found this review funny,Posted August 21.,,233270,3 of 7 people (43%) found this review helpful,True,2
H-Alo,http://steamcommunity.com/id/H-Alo,207 people found this review funny,"Posted February 6, 2015.",,346010,126 of 214 people (59%) found this review helpful,True,1
76561198076548816,http://steamcommunity.com/profiles/76561198076548816,3 people found this review funny,Posted July 16.,,304930,1 of 3 people (33%) found this review helpful,False,0
BarretaJrs,http://steamcommunity.com/id/BarretaJrs,1 person found this review funny,Posted March 22.,,440,1 of 1 people (100%) found this review helpful,True,2
PolygonCloud,http://steamcommunity.com/id/PolygonCloud,1 person found this review funny,Posted May 28.,,205890,2 of 7 people (29%) found this review helpful,True,1
76561198069458790,http://steamcommunity.com/profiles/76561198069458790,1 person found this review funny,Posted February 17.,,730,1 of 1 people (100%) found this review helpful,True,1
brendoboy,http://steamcommunity.com/id/brendoboy,2 people found this review funny,"Posted April 13, 2014.",,230410,1 of 5 people (20%) found this review helpful,True,0
brendoboy,http://steamcommunity.com/id/brendoboy,2 people found this review funny,"Posted December 16, 2014.",,322330,1 of 7 people (14%) found this review helpful,True,1
brendoboy,http://steamcommunity.com/id/brendoboy,1 person found this review funny,"Posted July 3, 2014.",,1250,0 of 7 people (0%) found this review helpful,True,2
Infixation,http://steamcommunity.com/id/Infixation,1 person found this review funny,"Posted October 8, 2015.",,730,3 of 4 people (75%) found this review helpful,True,1
76561198071162228,http://steamcommunity.com/profiles/76561198071162228,1 person found this review funny,Posted July 8.,,218620,0 of 1 people (0%) found this review helpful,True,2
76561198067021476,http://steamcommunity.com/profiles/76561198067021476,6 people found this review funny,"Posted October 29, 2014.",,730,5 of 5 people (100%) found this review helpful,True,0
76561198067021476,http://steamcommunity.com/profiles/76561198067021476,1 person found this review funny,Posted January 21.,,239140,No ratings yet,True,0
BITCHPLESE,http://steamcommunity.com/id/BITCHPLESE,6 people found this review funny,"Posted January 15, 2015.",,295110,5 of 13 people (38%) found this review helpful,True,0
